prop_id,sl_price,living_area,MISC_Val,Appraisal_val,Assessed_val,Age,Effective_Yr_Blt,Actual_Yr_Blt,Quality_cd,quality_factors,Prev_Sl_Ratio,CENTROID_X,CENTROID_y,Sale_Year,imprv_val,strata,legal_acreage,TotalFCP,TotalFEP,TotalFOP,TotalFGR,TotalFSP,TotalFST,TotalFUS,TotalFOP_binary,TotalFCP_binary,TotalFEP_binary,TotalFGR_binary,TotalFSP_binary,TotalFST_binary,TotalFUS_binary,Highsprings_A1,Highsprings_B2,Highsprings_B3,Highsprings_B4,Highsprings_B5,Highsprings_B6,Highsprings_B7,Highsprings_B8,Highsprings_B9,Highsprings_B10,Highsprings_B11,Highsprings_B12,Highsprings_B13,Highsprings_B14,Highsprings_C1,Highsprings_D1,Highsprings_E1,Highsprings_F1,MidtownEast_A1,MidtownEast_B1,MidtownEast_C1,MidtownEast_D1,MidtownEast_E1,MidtownEast_F1,Springtree_A1,Springtree_B1,Springtree_C1,swNewberry_A1,swNewberry_B1,swNewberry_C1,Tioga_A1,Tioga_B1,WaldoRural_A1,WaldoRural_B1,WaldoRural_C1,SUBMKT
1143,433100,2210,50534,362672,237663,21,2004,1975,3,100,0.837386285,-82.58060244,29.85888955,2022,267268,B3_HighSprings,6.41,0,548,186,0,300,300,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1227,370000,1512,10221,262929,262929,19,2006,1996,4,110,0.710618919,-82.57017259,29.85345736,2024,202308,B12_HighSprings,5.04,0,0,368,0,0,0,420,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B12
1270,625300,2809,30496,542344,542344,13,2012,2005,4,110,0.86733408,-82.57363665,29.85103916,2022,421848,B3_HighSprings,2.57,0,0,424,810,0,0,524,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1307,535500,2508,48855,442438,305652,20,2005,2005,4,110,0.826214753,-82.57589845,29.85422066,2023,375583,B3_HighSprings,2,0,0,282,506,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1358,544500,2587,10010,447657,447657,10,2015,2005,4,110,0.822143251,-82.61100861,29.84698957,2023,360247,B3_HighSprings,1.29,0,215.5,273,529,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1361,113800,2688,4356,514965,514965,2,2023,2023,4,110,4.525175747,-82.61196904,29.84547815,2022,432609,B3_HighSprings,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1387,495000,2414,5128,384877,384877,19,2006,2006,4,110,0.777529293,-82.60976501,29.84391174,2024,307749,B12_HighSprings,1.2,0,0,313.5,506,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B12
1389,555000,2529,3703,412401,412401,20,2005,2005,4,110,0.743064865,-82.6107821,29.84342501,2024,300698,B12_HighSprings,1.8,0,393.5,183,460,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B12
1416,199700,2260,6919,242759,210256,31,1994,1973,3,100,1.215618428,-82.58383244,29.84781803,2022,227280,B3_HighSprings,1.07,0,480,0,320,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1431,345000,1432,429,186643,186643,24,2001,2001,3,100,0.540994203,-82.58451245,29.84694809,2024,174214,B12_HighSprings,1.6,0,0,68,300,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B12
1473,495500,1416,6240,386982,386982,15,2010,1986,3,100,0.780992936,-82.62492467,29.8469165,2022,153942,B3_HighSprings,6.48,0,0,0,288,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1505,715000,2128,61074,562672,562672,4,2021,2021,3,100,0.786953846,-82.61172728,29.84963331,2024,485398,B12_HighSprings,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B12
1514,190000,928,3652,172901,172901,69,1956,1940,3,100,0.910005263,-82.62951722,29.84273027,2024,69249,B12_HighSprings,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B12
1523,674100,2596,464,610559,610559,17,2008,2007,3,100,0.905739505,-82.63111429,29.84085317,2022,380095,B3_HighSprings,2.25,0,0,525,2004,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1526,435600,1823,7784,322125,322125,20,2005,2002,3,100,0.739497245,-82.63214573,29.84031305,2022,199341,B3_HighSprings,1.35,0,0,124,441,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1610,292100,1436,2916,245801,245801,13,2012,2001,3,100,0.841496063,-82.61389365,29.84139128,2022,167885,B3_HighSprings,1.19,0,0,64,300,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1613,400000,2447,12497,335899,335899,25,2000,2000,3,100,0.8397475,-82.61315933,29.84026109,2024,248402,B2_HighSprings,1,0,0,166,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B2
1614,380000,1581,42651,281808,281808,27,1998,1998,3,100,0.7416,-82.61293849,29.84063411,2024,164157,B12_HighSprings,1,0,0,40,575,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B12
1628,443500,2004,14612,355505,191973,15,2010,2004,3,100,0.801589628,-82.61507764,29.84304187,2023,265893,B3_HighSprings,1,0,0,400,624,296,296,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1633,325000,1679,4032,270628,270628,23,2002,2002,3,100,0.832701538,-82.6162001,29.84222275,2024,191596,B12_HighSprings,1,0,0,137.5,504,195.5,195.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B12
1641,340300,2046,10749,295450,295450,23,2002,2002,3,100,0.868204525,-82.61660478,29.83925741,2022,209701,B3_HighSprings,1,0,318.5,192,480,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B3
1699,37000,960,145,44389,44389,31,1994,1929,2,90,1.199702703,-82.60805185,29.83750204,2024,19244,D_HighSprings,0.34,0,0,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_D1
1714,252200,1360,2417,187938,187938,31,1994,1986,3,100,0.74519429,-82.60411534,29.83782966,2023,136521,B2_HighSprings,0.24,0,0,88,546,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B2
1716,142600,1280,2611,162875,162875,30,1995,1995,3,100,1.142180926,-82.60398191,29.83732436,2024,111264,B12_HighSprings,0.3,0,0,96,288,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B12
1718,275300,1329,694,194555,194555,12,2013,2013,3,100,0.70670178,-82.60335642,29.83724888,2022,144861,B2_HighSprings,0.29,0,0,174,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highsprings_B2
