OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
1,1,1,2602,0.170000000000000,900,3,HIGH SPRINGS,73000,194900,1995,100,900,1992,2024,0,-82.581498199999999,29.817236240000000,0,116,252,28,31,0,0,1.000000000000000,173,Turkey_Creek
2,1,2,2622,0.170000000000000,956,3,HIGH SPRINGS,73000,189300,2010,100,956,1984,2024,0,-82.582786949999999,29.816568419999999,0,48,0,13,39,0,0,1.000000000000000,1012,Turkey_Creek
3,1,3,2919,0.350000000000000,2401,4,HIGH SPRINGS,64600,434200,2001,100,1894,1989,2024,0,-82.590158459999998,29.831432119999999,0,535,676,22,34,0,0,2.000000000000000,4988,Turkey_Creek
4,1,4,3017,0.340000000000000,1606,2,HIGH SPRINGS,64600,197000,1994,100,1456,1975,2024,0,-82.594487380000004,29.834472430000002,0,150,0,29,48,0,0,1.500000000000000,2564,Turkey_Creek
5,1,5,3236,0.340000000000000,1029,3,HIGH SPRINGS,64600,216300,2008,100,1029,1954,2024,0,-82.598878479999996,29.831737189999998,0,0,0,15,69,0,0,1.000000000000000,4356,Turkey_Creek
6,1,6,3371,0.340000000000000,832,3,HIGH SPRINGS,64600,149800,1994,100,832,1991,2024,0,-82.601266150000001,29.834204039999999,0,0,198,29,32,0,0,2.000000000000000,3753,Turkey_Creek
7,1,7,3384,0.230000000000000,1600,3,HIGH SPRINGS,64600,247500,1999,100,1600,1972,2024,0,-82.601980970000000,29.835319150000000,0,24,0,24,51,0,0,1.500000000000000,314,Turkey_Creek
8,1,8,3387,0.460000000000000,2513,3,HIGH SPRINGS,64600,368700,2003,100,1188,1922,2024,0,-82.602539100000001,29.834201799999999,0,1937,0,20,101,0,0,1.000000000000000,7300,Turkey_Creek
9,1,9,3389,0.280000000000000,2066,3,HIGH SPRINGS,64600,297000,2000,100,2066,1961,2024,0,-82.602265669999994,29.834674410000002,0,108,0,23,62,0,0,1.000000000000000,10668,Turkey_Creek
10,1,10,3398,0.140000000000000,1136,3,HIGH SPRINGS,64600,226600,2009,100,608,1948,2024,0,-82.603291749999997,29.832259730000001,528,15,0,14,75,0,0,2.000000000000000,320,Turkey_Creek
11,1,11,3405,0.340000000000000,1172,3,HIGH SPRINGS,64600,171500,1995,100,968,1948,2024,0,-82.603676710000002,29.831319590000000,0,204,0,28,75,0,0,1.000000000000000,0,Turkey_Creek
12,1,12,3557,0.340000000000000,1058,3,HIGH SPRINGS,94500,211200,2012,100,1058,1997,2024,0,-82.604831570000002,29.834663190000001,0,276,0,11,26,0,0,2.000000000000000,425,Turkey_Creek
13,1,13,3824,0.230000000000000,1100,3,HIGH SPRINGS,171900,221500,2009,100,1100,1900,2024,0,-82.598647330000006,29.823249720000000,0,144,0,14,123,0,0,1.000000000000000,2500,Turkey_Creek
14,1,14,3826,0.170000000000000,1580,3,HIGH SPRINGS,171900,178500,1994,100,1580,1940,2024,0,-82.599349889999999,29.823559530000001,0,0,0,29,83,0,0,2.000000000000000,1155,Turkey_Creek
15,1,15,4050,0.740000000000000,1860,4,HIGH SPRINGS,236800,385000,2007,100,1860,2005,2024,0,-82.595443000000003,29.821511820000001,0,374,511,16,18,0,0,2.000000000000000,19073,Turkey_Creek
16,1,16,4176,0.500000000000000,1398,3,HIGH SPRINGS,0,359800,2014,100,1398,1920,2024,0,-82.601176789999997,29.825340480000001,0,120,0,9,103,0,0,1.000000000000000,3123,Turkey_Creek
17,1,17,4209,0.250000000000000,1290,3,HIGH SPRINGS,180500,273900,2013,100,1290,2000,2024,0,-82.596069920000005,29.817491409999999,0,124,420,10,23,0,0,2.000000000000000,1174,Turkey_Creek
18,1,18,4252,0.300000000000000,1201,3,HIGH SPRINGS,180500,198900,1994,100,925,1964,2024,0,-82.599728529999993,29.816630480000001,0,332,0,29,59,0,0,3.000000000000000,1309,Turkey_Creek
19,1,19,4278,0.250000000000000,925,3,HIGH SPRINGS,180500,185000,1999,100,925,1963,2024,0,-82.599729060000001,29.816135599999999,0,148,0,24,60,0,0,1.000000000000000,4327,Turkey_Creek
20,1,20,4347,0.250000000000000,1413,3,HIGH SPRINGS,180500,275400,2003,100,1413,2003,2024,0,-82.593138289999999,29.815570059999999,0,40,380,20,20,0,0,2.000000000000000,555,Turkey_Creek
21,1,21,4469,0.330000000000000,1000,3,HIGH SPRINGS,9105,167300,1994,100,1000,1975,2024,0,-82.610575999999995,29.821607740000001,0,0,0,29,48,0,0,1.000000000000000,358,Turkey_Creek
22,1,22,4499,0.350000000000000,1308,3,HIGH SPRINGS,8905,248000,1994,100,1308,1982,2024,0,-82.610379120000005,29.818867539999999,0,60,0,29,41,0,0,2.000000000000000,15524,Turkey_Creek
23,1,23,4604,5.270000000000000,2341,3,SUWANNEE,160200,494400,2005,100,2341,2005,2024,0,-82.643991290000002,29.825070010000001,0,563,0,18,18,0,0,3.000000000000000,16554,Turkey_Creek
24,1,24,4613,2.120000000000000,2088,3,SUWANNEE,700,329600,2009,100,1588,1974,2024,0,-82.654917600000005,29.821319020000001,0,36,0,14,49,0,0,2.000000000000000,18719,Turkey_Creek
25,1,25,4621,0.430000000000000,1058,3,SUWANNEE,160100,258600,1994,100,750,1954,2024,0,-82.646175349999993,29.826362679999999,0,308,0,29,69,0,0,1.000000000000000,6522,Turkey_Creek
26,1,26,4682,5.010000000000000,2937,4,HIGH SPRINGS,227600,695800,2020,100,2277,2020,2024,0,-82.624205919999994,29.806499790000000,660,511,720,3,3,0,0,2.000000000000000,1630,Turkey_Creek
27,1,27,4696,6.360000000000000,3098,4,HIGH SPRINGS,227600,841500,2015,100,3098,2008,2024,0,-82.615786770000000,29.805384149999998,0,442,951,8,15,0,0,2.500000000000000,31514,Turkey_Creek
28,1,28,4720,1.010000000000000,2277,3,HIGH SPRINGS,232400,513100,2012,100,2277,2005,2024,0,-82.614557129999994,29.815559860000000,0,349,574,11,18,0,0,2.000000000000000,20383,Turkey_Creek
29,1,29,4728,1.850000000000000,2103,3,HIGH SPRINGS,232400,474700,2012,100,2103,2006,2024,0,-82.615978470000002,29.814021120000000,0,316,491,11,17,0,0,3.000000000000000,2620,Turkey_Creek
30,1,30,4864,1.020000000000000,2096,3,HIGH SPRINGS,228700,437800,2010,100,2096,2004,2024,0,-82.602363830000002,29.800556539999999,0,660,506,13,19,0,0,2.000000000000000,20021,Turkey_Creek
31,1,31,4881,1.040000000000000,2058,3,HIGH SPRINGS,228700,445500,2012,100,2058,2005,2024,0,-82.604767420000002,29.800776480000000,0,266,462,11,18,0,0,2.000000000000000,2852,Turkey_Creek
32,1,32,4909,1.010000000000000,2104,4,HIGH SPRINGS,227601,539900,2014,100,2104,2014,2024,0,-82.609331670000003,29.815424770000000,0,204,716,9,9,0,0,2.000000000000000,22806,Turkey_Creek
33,1,33,5013,0.230000000000000,1056,3,HIGH SPRINGS,180500,227000,2007,100,1056,1981,2024,0,-82.598034799999994,29.813814810000000,0,0,0,16,42,0,0,2.000000000000000,540,Turkey_Creek
34,1,34,5027,0.230000000000000,1144,3,HIGH SPRINGS,180500,203000,1994,100,1144,1976,2024,0,-82.598919960000003,29.814086240000002,0,120,168,29,47,0,0,1.000000000000000,2209,Turkey_Creek
35,1,35,5081,0.580000000000000,1767,3,HIGH SPRINGS,165100,282200,1994,100,1767,1987,2024,0,-82.604860180000003,29.811433820000001,0,243,510,29,36,0,0,2.000000000000000,1160,Turkey_Creek
36,1,36,5091,0.500000000000000,1690,3,HIGH SPRINGS,180500,273900,2001,100,1522,1985,2024,0,-82.603782319999993,29.811683510000002,0,210,0,22,38,0,0,2.000000000000000,3635,Turkey_Creek
37,1,37,5094,0.700000000000000,1520,3,HIGH SPRINGS,180500,262400,1994,100,1520,1967,2024,0,-82.603201110000001,29.811274300000001,0,68,0,29,56,0,0,2.000000000000000,1531,Turkey_Creek
38,1,38,5098,0.340000000000000,1574,3,HIGH SPRINGS,180500,270200,2003,100,1298,1974,2024,0,-82.602578440000002,29.812246540000000,0,336,0,20,49,0,0,2.000000000000000,966,Turkey_Creek
39,1,39,5117,0.340000000000000,1289,3,HIGH SPRINGS,180500,220000,2003,100,1289,1973,2024,0,-82.600684310000005,29.811983399999999,0,60,0,20,50,0,0,1.000000000000000,2226,Turkey_Creek
40,1,40,21187,0.100000000000000,1672,3,SUWANNEE,199304,402000,2003,100,1672,2003,2024,0,-82.478861359999996,29.654587480000000,0,168,441,20,20,0,0,2.000000000000000,888,Turkey_Creek
41,1,41,21197,0.170000000000000,2142,4,SUWANNEE,199305,499600,2004,100,2142,2004,2024,0,-82.482217719999994,29.650190320000000,0,485,516,19,19,0,0,2.000000000000000,3456,Turkey_Creek
42,1,42,21221,0.200000000000000,1844,4,SUWANNEE,199306,490000,2005,100,1844,2005,2024,0,-82.482396530000003,29.649339319999999,0,126,462,18,18,0,0,2.000000000000000,3966,Turkey_Creek
43,1,43,21222,0.200000000000000,1859,4,SUWANNEE,199306,490000,2005,100,1859,2005,2024,0,-82.482632629999998,29.649341190000001,0,168,440,18,18,0,0,2.000000000000000,3857,Turkey_Creek
44,1,44,21233,0.190000000000000,2437,4,SUWANNEE,199306,618000,2004,100,1310,2004,2024,0,-82.482208650000004,29.648485359999999,1127,222,529,19,19,0,0,3.000000000000000,3528,Turkey_Creek
45,1,45,21246,0.400000000000000,2912,4,SUWANNEE,199307,689600,2005,100,1856,2005,2024,0,-82.478481660000000,29.650074640000000,1056,391,552,18,18,0,0,3.500000000000000,5080,Turkey_Creek
46,1,46,21247,0.400000000000000,2378,4,SUWANNEE,199307,510000,2006,100,1253,2006,2024,0,-82.478484780000002,29.649772169999999,1125,232,484,17,17,0,0,2.500000000000000,11172,Turkey_Creek
47,1,47,21260,0.140000000000000,2705,4,SUWANNEE,199307,579200,2010,100,2087,2006,2024,0,-82.480246240000000,29.649090099999999,618,168,441,13,17,0,0,2.500000000000000,1896,Turkey_Creek
48,1,48,21265,0.320000000000000,3423,4,SUWANNEE,199308,862300,2006,100,2359,2006,2024,0,-82.479821560000005,29.649150550000002,1064,578,660,17,17,0,0,3.000000000000000,1854,Turkey_Creek
49,1,49,21272,0.210000000000000,2919,5,SUWANNEE,199308,704000,2007,100,2130,2007,2024,0,-82.479523029999996,29.648941709999999,688,486,572,16,16,0,0,2.500000000000000,4050,Turkey_Creek
50,1,50,21279,0.400000000000000,3826,4,SUWANNEE,199308,803600,2006,100,2692,2006,2024,0,-82.478500400000001,29.648259849999999,1134,570,528,17,17,0,0,3.500000000000000,23449,Turkey_Creek
51,1,51,21295,0.170000000000000,2336,4,SUWANNEE,199309,560800,2007,100,1370,2007,2024,0,-82.482580240000004,29.648020840000001,966,340,528,16,16,0,0,3.000000000000000,4100,Turkey_Creek
52,1,52,21305,0.170000000000000,2350,4,SUWANNEE,199309,629100,2006,100,1986,2006,2024,0,-82.482796339999993,29.647635420000000,364,416,484,17,17,0,0,3.000000000000000,14693,Turkey_Creek
53,1,53,21307,0.170000000000000,2556,4,SUWANNEE,199309,612800,2006,100,1423,2006,2024,0,-82.483199270000000,29.647638229999998,1133,300,506,17,17,0,0,3.000000000000000,8433,Turkey_Creek
54,1,54,21339,0.480000000000000,3730,4,SUWANNEE,199312,975200,2012,100,2730,2009,2024,0,-82.484783829999998,29.647723549999998,999,534,770,11,14,0,0,3.500000000000000,29043,Turkey_Creek
55,1,55,21605,1.060000000000000,1192,3,SUWANNEE,213800,309700,2000,100,1192,1980,2024,0,-82.477021100000002,29.645876189999999,0,0,536,23,43,0,0,2.000000000000000,1520,Turkey_Creek
56,1,56,21740,0.150000000000000,2299,3,SUWANNEE,242100,479200,2007,100,1962,2007,2024,0,-82.488914530000002,29.660621620000001,336,512,576,16,16,0,0,3.000000000000000,7224,Turkey_Creek
57,1,57,21765,0.340000000000000,3675,5,SUWANNEE,242100,935900,2008,100,3675,2008,2024,0,-82.486381710000003,29.661103050000001,0,787,893,15,15,0,0,4.000000000000000,44867,Turkey_Creek
58,1,58,21766,0.390000000000000,3520,5,SUWANNEE,242100,985000,2013,100,3520,2013,2024,0,-82.486362959999994,29.660805090000000,0,797,754,10,10,0,0,3.000000000000000,58436,Turkey_Creek
59,1,59,21790,0.200000000000000,1879,3,SUWANNEE,242100,405700,2015,100,1879,2015,2024,0,-82.485149910000004,29.658699290000001,0,122,426,8,8,0,0,2.000000000000000,12255,Turkey_Creek
60,1,60,21809,0.200000000000000,2311,4,SUWANNEE,242100,464600,2007,100,2311,2007,2024,0,-82.488035229999994,29.658060219999999,0,428,580,16,16,0,0,2.000000000000000,19923,Turkey_Creek
61,1,61,21813,0.180000000000000,2834,3,SUWANNEE,242100,608900,2012,100,2358,2006,2024,0,-82.487302479999997,29.658248480000001,476,492,484,11,17,0,0,4.000000000000000,16574,Turkey_Creek
62,1,62,21823,0.210000000000000,2233,4,SUWANNEE,242100,520000,2007,100,2233,2007,2024,0,-82.485679020000006,29.658956929999999,0,278,529,16,16,0,0,2.000000000000000,5816,Turkey_Creek
63,1,63,21925,5.000000000000000,2735,3,SUWANNEE,58500,645600,2010,100,1832,1987,2024,0,-82.497468979999994,29.642495090000001,693,1154,0,13,36,0,0,2.000000000000000,36339,Turkey_Creek
64,1,64,21944,1.020000000000000,2224,4,SUWANNEE,13500,519300,2016,100,1232,1984,2024,0,-82.498336589999994,29.639851759999999,832,256,0,7,39,0,0,2.500000000000000,25899,Turkey_Creek
65,1,65,22042,3.390000000000000,2471,3,SUWANNEE,121100,569300,1999,100,2219,1982,2024,0,-82.522570660000000,29.648573580000001,0,324,1296,24,41,0,0,2.000000000000000,14924,Turkey_Creek
66,1,66,22044,2.530000000000000,2608,4,SUWANNEE,121100,505000,1999,100,2608,1976,2024,0,-82.522238490000007,29.647353960000000,0,28,732,24,47,0,0,2.500000000000000,11472,Turkey_Creek
67,1,67,22228,1.050000000000000,1827,3,SUWANNEE,116600,346500,2009,100,1827,1978,2024,0,-82.546221779999996,29.642060749999999,0,181,672,14,45,0,0,2.000000000000000,13586,Turkey_Creek
68,1,68,22374,5.000000000000000,1758,3,SUWANNEE,0,331700,2009,100,1101,1964,2024,0,-82.508489310000002,29.634387550000000,357,300,0,14,59,0,0,2.000000000000000,6506,Turkey_Creek
69,1,69,22384,5.000000000000000,2795,4,SUWANNEE,0,733900,2017,100,2083,2017,2024,0,-82.518685829999995,29.633488360000001,712,401,540,6,6,0,0,3.000000000000000,35381,Turkey_Creek
70,1,70,22609,1.150000000000000,2827,4,SUWANNEE,600,782800,2009,100,2826,2002,2024,0,-82.457733860000005,29.637651000000002,0,284,540,14,21,0,0,3.500000000000000,47270,Turkey_Creek
71,1,71,22614,1.010000000000000,3055,5,SUWANNEE,600,847400,2005,100,2707,2002,2024,0,-82.458545770000001,29.634853620000001,348,602,529,18,21,0,0,4.000000000000000,24866,Turkey_Creek
72,1,72,22687,1.010000000000000,5361,5,SUWANNEE,241101,1519000,2014,100,3352,2014,2024,0,-82.456245820000007,29.641534029999999,2010,1510,852,9,9,0,0,4.500000000000000,47131,Turkey_Creek
73,1,73,22741,1.010000000000000,2357,4,SUWANNEE,11105,545900,1998,100,2357,1998,2024,0,-82.465703030000000,29.643983209999998,0,534,624,25,25,0,0,2.000000000000000,30308,Turkey_Creek
74,1,74,22790,1.670000000000000,5412,6,SUWANNEE,229900,1334200,2002,100,4316,2002,2024,0,-82.459686120000001,29.629044720000000,1096,418,864,21,21,0,0,6.000000000000000,39794,Turkey_Creek
75,1,75,22930,1.020000000000000,2250,4,SUWANNEE,151700,611800,2012,100,2250,1998,2024,0,-82.481208409999994,29.627907650000001,0,354,526,11,25,0,0,3.000000000000000,44851,Turkey_Creek
76,1,76,23079,5.160000000000000,2073,4,NEWBERRY,199500,586500,2017,100,2072,1998,2024,0,-82.532818800000001,29.613157690000001,0,178,484,6,25,0,0,2.000000000000000,40957,Turkey_Creek
77,1,77,37756,0.210000000000000,2059,4,GAINESVILLE,235700,404900,2004,100,2058,1996,2024,0,-82.372631830000003,29.690128500000000,0,248,441,19,27,0,0,2.000000000000000,2757,Turkey_Creek
78,1,78,37807,0.250000000000000,2063,3,GAINESVILLE,163500,371500,2015,100,1738,1992,2024,0,-82.360308959999998,29.698624280000001,0,380,458,8,31,0,0,2.000000000000000,4327,Turkey_Creek
79,1,79,37841,0.170000000000000,1342,3,GAINESVILLE,163601,304000,2010,100,1342,1993,2024,0,-82.357885740000000,29.701473770000000,0,40,462,13,30,0,0,2.000000000000000,819,Turkey_Creek
80,1,80,37863,0.250000000000000,1847,3,GAINESVILLE,163602,313700,1995,100,1619,1995,2024,0,-82.356222720000005,29.700220040000001,0,317,456,28,28,0,0,2.000000000000000,1126,Turkey_Creek
81,1,81,37876,0.190000000000000,1611,3,GAINESVILLE,163602,300000,1994,100,1611,1993,2024,0,-82.356753839999996,29.699719859999998,0,336,464,29,30,0,0,2.000000000000000,956,Turkey_Creek
82,1,82,37887,0.360000000000000,2571,3,GAINESVILLE,163602,484800,2009,100,2571,1994,2024,0,-82.357960410000004,29.702858450000001,0,356,510,14,29,0,0,2.000000000000000,25169,Turkey_Creek
83,1,83,37901,0.340000000000000,1782,3,GAINESVILLE,163602,326400,2006,100,1782,1994,2024,0,-82.358360009999998,29.702383470000001,0,428,480,17,29,0,0,2.000000000000000,310,Turkey_Creek
84,1,84,38000,0.270000000000000,2232,3,GAINESVILLE,193000,383800,2001,100,1972,1975,2024,0,-82.359573519999998,29.692711249999999,0,302,650,22,48,0,0,2.000000000000000,5181,Turkey_Creek
85,1,85,38049,0.200000000000000,912,3,GAINESVILLE,183600,242600,2011,100,912,1980,2024,0,-82.359958250000005,29.693433530000000,0,0,180,12,43,0,0,1.000000000000000,350,Turkey_Creek
86,1,86,38129,0.210000000000000,1074,3,GAINESVILLE,183600,242100,2008,100,1074,1979,2024,0,-82.361585890000001,29.693699420000002,0,48,0,15,44,0,0,2.000000000000000,350,Turkey_Creek
87,1,87,38249,0.200000000000000,1260,3,GAINESVILLE,183701,271300,2001,100,1260,1981,2024,0,-82.363749459999994,29.696688770000002,0,0,420,22,42,0,0,2.000000000000000,4300,Turkey_Creek
88,1,88,38285,0.190000000000000,1578,3,GAINESVILLE,37801,379900,2010,100,1466,1990,2024,0,-82.356533990000003,29.692300050000000,0,168,441,13,33,0,0,2.000000000000000,20283,Turkey_Creek
89,1,89,38388,0.200000000000000,1171,3,GAINESVILLE,183900,242000,1994,100,1171,1985,2024,0,-82.359670350000002,29.702156639999998,0,24,200,29,38,0,0,2.000000000000000,3157,Turkey_Creek
90,1,90,38402,0.200000000000000,1196,3,GAINESVILLE,183900,280000,1999,100,1196,1985,2024,0,-82.359683029999999,29.701472670000001,0,90,480,24,38,0,0,2.000000000000000,7359,Turkey_Creek
91,1,91,38404,0.250000000000000,1350,3,GAINESVILLE,183900,308500,2009,100,1350,1985,2024,0,-82.359054630000003,29.701501640000000,0,18,260,14,38,0,0,2.000000000000000,5169,Turkey_Creek
92,1,92,38448,0.380000000000000,1264,3,GAINESVILLE,184000,329000,2000,100,1264,1988,2024,0,-82.363734739999998,29.700552559999998,0,364,460,23,35,0,0,2.000000000000000,22713,Turkey_Creek
93,1,93,38600,0.130000000000000,1852,3,GAINESVILLE,249301,395800,2017,100,1852,2017,2024,0,-82.360543430000007,29.691518080000002,0,132,440,6,6,0,0,2.000000000000000,1324,Turkey_Creek
94,1,94,38622,0.270000000000000,1172,3,GAINESVILLE,142900,277200,2001,100,1172,1970,2024,0,-82.369014570000004,29.690802150000000,0,0,312,22,53,0,0,2.000000000000000,1572,Turkey_Creek
95,1,95,38656,0.340000000000000,1200,3,GAINESVILLE,143100,306000,2010,100,1200,1968,2024,0,-82.369000510000006,29.693283980000000,0,69,0,13,55,0,0,2.000000000000000,372,Turkey_Creek
96,1,96,38693,0.290000000000000,1290,3,GAINESVILLE,143200,232700,1998,100,1290,1970,2024,0,-82.368421499999997,29.693855650000000,0,33,0,25,53,0,0,2.000000000000000,365,Turkey_Creek
97,1,97,38704,0.250000000000000,1656,3,GAINESVILLE,143200,281800,1994,100,1656,1970,2024,0,-82.369394119999995,29.694109409999999,0,95,0,29,53,0,0,2.000000000000000,4271,Turkey_Creek
98,1,98,38711,0.280000000000000,1528,3,GAINESVILLE,143200,294000,2008,100,1528,1970,2024,0,-82.369966640000001,29.694439379999999,0,80,0,15,53,0,0,2.000000000000000,7219,Turkey_Creek
