prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,land_total_acres,sl_price
1058,7.93,0,2000,2412,AC,3,7.93,492600
1270,2.57,0,2005,2809,LT,4,2.57,625300
1307,2,0,2005,2508,AC,4,2,535500
1358,1.29,1019,2005,2587,AC,4,1.29,544500
1416,1.07,1019,1973,2260,AC,3,1.07,199700
1430,1.2,1019,1974,2250,AC,3,1.2,427400
1473,6.48,1019,1986,1416,AC,3,6.48,495500
1624,1,1019,1998,1903,LT,3,1,357700
1733,0.17,1019,2022,1714,LT,NULL,0.17,58000
1733,0.17,1019,2022,1714,LT,NULL,0.17,343400
1742,0.17,1019,2022,1209,LT,3,0.17,274900
1745,0.17,1019,2022,1397,LT,3,0.17,280600
1748,0.43,1019,2022,1776,LT,NULL,0.43,342300
1748,0.43,1019,2022,1776,LT,NULL,0.43,346100
1750,0.18,1019,2022,1384,LT,3,0.18,264400
1753,0.17,1019,2019,1822,LT,NULL,0.17,327300
1788,0.17,1019,2023,1202,LT,3,0.17,103300
1788,0.17,1019,2023,1202,LT,3,0.17,244400
1790,0.18,1019,2012,1418,LT,3,0.18,292500
1793,0.18,1019,2022,1602,LT,NULL,0.18,315700
1828,0.18,1019,2018,1433,LT,NULL,0.18,293000
1951,1.99,1019,1988,1867,AC,3,1.99,419400
1954,0.24,1019,2018,1773,LT,NULL,0.24,346500
2060,0.2,1019,2017,1441,LT,3,0.2,302900
2065,0.2,1019,2019,1768,LT,NULL,0.2,302000
2103,0.21,1019,2012,1740,LT,3,0.21,361700
2148,0.2,1019,2020,1672,LT,NULL,0.2,308400
2200,5,1019,2000,1860,AC,3,5,436500
2377,0.25,1019,2005,1465,LT,3,0.25,285400
2409,5.61,1019,1995,1936,AC,3,5.61,475300
2498,1,1019,1978,1080,UN,3,1,135100
2518,0.23,1019,1998,1178,LT,3,0.23,218100
2598,0.17,1019,2006,1194,UN,3,0.17,238800
2892,0.62,1019,1988,2387,LT,4,0.62,435000
2930,0.34,1019,1953,1885,LT,3,0.34,240900
2950,0.34,1019,1994,1316,UN,3,0.34,243900
2976,0.33,1019,1985,1701,UN,3,0.33,344300
3033,0.34,1019,1948,1240,UN,3,0.34,96400
3044,1.15,1019,1900,1930,SF,3,1.15,165000
3059,0.34,1019,1937,1008,SF,3,0.34,128800
3242,0.45,1019,1938,1380,UN,3,0.45,331400
3245,0.23,1019,1962,1431,UN,3,0.23,264100
3267,0.47,1019,1942,1204,SF,3,0.47,75000
3310,0.68,1019,1961,2258,UN,3,0.68,263600
3350,0.34,1019,1935,1324,UN,3,0.3422,158000
3371,0.34,1019,1991,832,UN,3,0.34,149800
3408,0.34,1019,1942,1371,UN,3,0.34,83200
3408,0.34,1019,1942,1371,UN,3,0.34,230000
3517,0.11,1019,1929,702,UN,3,0.11,109900
3557,0.34,1019,1997,1058,UN,3,0.34,211200
3705,0.11,1019,2022,1200,UN,3,0.11,231300
3766,0.23,1019,1965,1200,UN,3,0.23,259900
3826,0.17,1019,1940,1580,SF,3,0.17,178500
3846,0.23,1019,1920,1328,SF,3,0.23,256300
3846,0.23,1019,1920,1328,SF,3,0.23,169100
3886,0.34,1019,1986,1344,LT,3,0.34,206100
3929,0.34,1019,1990,984,LT,3,0.34,151100
3969,0.3,1019,1920,896,LT,3,0.3,153000
4032,0.34,1019,1967,1352,UN,3,0.34,198300
4058,1.02,1019,2006,1958,LT,4,1.02,442000
4181,0.31,1019,2006,1504,LT,3,0.31,235500
4184,0.43,1019,2006,1347,LT,3,0.43,274700
4198,0.37,1019,2001,1332,LT,3,0.37,290000
4203,0.37,1019,2000,1485,LT,3,0.37,272300
4204,0.37,1019,1999,1422,LT,3,0.37,281600
4209,0.25,1019,2000,1290,LT,3,0.25,272700
4209,0.25,1019,2000,1290,LT,3,0.25,273900
4244,0.2984,1019,1964,1825,LT,3,0.2984,250500
4309,0.36,1019,1998,1327,LT,3,0.36,166600
4347,0.25,1019,2003,1413,LT,3,0.25,275400
4490,0.31,1019,1982,1710,UN,3,0.31,280000
4495,0.35,1019,1980,1260,UN,3,0.35,195500
4598,5.17,0,2017,2310,AC,3,5.17,724300
4604,5.27,0,2005,2341,AC,3,5.27,494400
4621,0.43,0,1954,1058,FF,3,0.43,258600
4682,5.01,1019,2020,2937,AC,4,5.01,695800
4687,5.01,1019,2003,3089,AC,4,5.01,643500
4747,1.09,1019,2005,2094,LT,3,1.09,432900
4805,5.01,1019,1999,1500,AC,3,5.01,272400
4813,5.01,1019,2022,3401,AC,NULL,5.01,79600
4825,0.97,0,1960,1365,UN,3,0.97,215700
